AirportCode,CityCode,CountryCode,LocationType,Latitude,Longitude,TimeZoneId,UtcOffset,Names
AJU,AJU,BR,Airport,-10.9839,-37.0703,America/Belem,-3.0,Aracaju
AKJ,AKJ,JP,Airport,43.6708,142.4475,Asia/Tokyo,9.0,Asahikawa
AKL,AKL,NZ,Airport,-37.0097,174.7917,Pacific/Auckland,12.0,Auckland - International
ALA,ALA,KZ,Airport,43.3533,77.0422,Asia/Qyzylorda,5.0,Almaty
ALB,ALB,US,Airport,42.7483,-73.8017,America/New_York,-4.0,"Albany, NY"
ALC,ALC,ES,Airport,38.2822,-0.5581,Europe/Madrid,2.0,Alicante
ALF,ALF,NO,Airport,69.9761,23.3717,Europe/Oslo,2.0,Alta
ALG,ALG,DZ,Airport,36.6942,3.2147,Africa/Algiers,1.0,Algiers
ALS,ALS,US,Airport,37.4375,-105.8664,America/Denver,-6.0,Alamosa
ALW,ALW,US,Airport,46.095,-118.2878,America/Los_Angeles,-7.0,Walla Walla
AMA,AMA,US,Airport,35.2194,-101.7058,America/Chicago,-5.0,Amarillo - International
AMD,AMD,IN,Airport,23.0772,72.6347,Asia/Kolkata,5.5,Ahmedabad
AMH,AMH,ET,Airport,6.0394,37.5906,Africa/Addis_Ababa,3.0,Arba Minch
AMI,AMI,ID,Airport,-8.5608,116.0947,Asia/Makassar,8.0,Mataram
AMM,AMM,JO,Airport,31.7225,35.9933,Asia/Amman,3.0,Amman - Queen Alia International
AMS,AMS,NL,Airport,52.3081,4.7642,Europe/Amsterdam,2.0,Amsterdam - Schiphol
ANC,ANC,US,Airport,61.1744,-149.9964,America/Anchorage,-8.0,Anchorage - International
ANF,ANF,CL,Airport,-23.4444,-70.445,America/Santiago,-4.0,Antofagasta
ANU,ANU,AG,Airport,17.1367,-61.7928,America/Antigua,-4.0,Antigua - V.C. Bird International
AOI,AOI,IT,Airport,43.6167,13.3603,Europe/Rome,2.0,Ancona
AOJ,AOJ,JP,Airport,40.7347,140.6908,Asia/Tokyo,9.0,AOMORICA
AOK,AOK,GR,Airport,35.4214,27.1461,Europe/Athens,3.0,Karpathos
AOR,AOR,MY,Airport,6.1944,100.4008,Asia/Kuala_Lumpur,8.0,Alor Setar
APL,APL,MZ,Airport,-15.1056,39.2817,Africa/Maputo,2.0,Nampula
APW,APW,WS,Airport,-13.8297,-171.9972,Pacific/Apia,13.0,APIA FALEOLO APT
AQJ,AQJ,JO,Airport,29.6117,35.0181,Asia/Amman,3.0,AQABA KING HUSSEIN INTERNATIONAL
AQP,AQP,PE,Airport,-16.3408,-71.5725,America/Lima,-5.0,AREQUIPA RODRIGUEZ BALLON INTL
ARH,ARH,RU,Airport,64.6003,40.7167,Europe/Moscow,3.0,Arkhangelsk
ARI,ARI,CL,Airport,-18.3486,-70.3386,America/Santiago,-4.0,Arica
ARN,STO,SE,Airport,59.6519,17.9186,Europe/Stockholm,2.0,Stockholm
ASB,ASB,TM,Airport,37.9869,58.3608,Asia/Ashgabat,5.0,Ashgabad - S. Turkmenbashy Int'l
ASE,ASE,US,Airport,39.2192,-106.8672,America/Denver,-6.0,"Aspen, CO"
ASF,ASF,RU,Airport,46.2833,48.0064,Europe/Moscow,3.0,Astrakhan
ASM,ASM,ER,Airport,15.2919,38.9106,Africa/Asmara,3.0,Asmara
ASO,ASO,ET,Airport,10.0186,34.5864,Africa/Addis_Ababa,3.0,Asosa
ASR,ASR,TR,Airport,38.7703,35.4956,Europe/Istanbul,3.0,Kayseri
ASU,ASU,PY,Airport,-25.2397,-57.5192,America/Asuncion,-4.0,Asuncion
ASW,ASW,EG,Airport,23.9644,32.82,Africa/Cairo,2.0,Aswan
ATH,ATH,GR,Airport,37.9364,23.9444,Europe/Athens,3.0,Athens Eleftherios Venizelos
ATL,ATL,US,Airport,33.6367,-84.4281,America/New_York,-4.0,Hartsfield-Jackson Atlanta International Airport GA
ATQ,ATQ,IN,Airport,31.7097,74.7972,Asia/Kolkata,5.5,Amritsar
ATW,ATW,US,Airport,44.2667,-88.5167,America/Chicago,-5.0,Appleton
ATZ,ATZ,EG,Airport,27.0464,31.0119,Africa/Cairo,2.0,ASYUT
AUA,AUA,AW,Airport,12.5014,-70.0153,America/Aruba,-4.0,Aruba
AUH,AUH,AE,Airport,24.43305556,54.64888889,Asia/Dubai,4.0,Abu Dhabi - NADIA International
AUS,AUS,US,Airport,30.1944,-97.67,America/Chicago,-5.0,"Austin-Bergstrom International Airport, TX"
AUW,AUW,US,Airport,44.9283,-89.6267,America/Chicago,-5.0,Wausau
AVL,AVL,US,Airport,35.4361,-82.5419,America/New_York,-4.0,Asheville
AVP,AVP,US,Airport,41.3386,-75.7233,America/New_York,-4.0,Scranton - Pennsylvania
AWA,AWA,ET,Airport,7.0675,38.4906,Africa/Addis_Ababa,3.0,AWASA
AWZ,AWZ,IR,Airport,31.3375,48.7603,Asia/Tehran,4.5,AHWAZ
AXD,AXD,GR,Airport,40.8558,25.9564,Europe/Athens,3.0,Alexandroupolis
AXM,AXM,CO,Airport,4.4528,-75.7664,America/Bogota,-5.0,Armenia
AXT,AXT,JP,Airport,39.6156,140.2186,Asia/Tokyo,9.0,Akita
AXU,AXU,ET,Airport,14.1467,38.7728,Africa/Addis_Ababa,3.0,Axum
AYT,AYT,TR,Airport,36.8986,30.8006,Europe/Istanbul,3.0,Antalya
AZO,AZO,US,Airport,42.235,-85.5519,America/New_York,-4.0,Kalamazoo/Battle Creek
AZS,AZS,DO,Airport,19.2672,-69.7422,America/Santo_Domingo,-4.0,SAMANA EL CATEY INTL
BAH,BAH,BH,Airport,26.2708,50.6336,Asia/Bahrain,3.0,Bahrain International
BAL,BAL,TR,Airport,37.9289,41.1167,Europe/Istanbul,3.0,Batman
BAQ,BAQ,CO,Airport,10.8897,-74.7808,America/Bogota,-5.0,Barranquilla
BAV,BAV,CN,Airport,40.5606,109.9964,Asia/Shanghai,8.0,Baotou
BBA,BBA,CL,Airport,-45.9161,-71.6894,America/Santiago,-4.0,Balmaceda
BBI,BBI,IN,Airport,20.2444,85.8178,Asia/Kolkata,5.5,Bhubaneshwar
BBK,BBK,BW,Airport,-17.8328,25.1625,Africa/Gaborone,2.0,Kasane
BBO,BBO,SO,Airport,10.3892,44.9411,Africa/Mogadishu,3.0,Berbera
BCN,BCN,ES,Airport,41.2969,2.0783,Europe/Madrid,2.0,Barcelona
BCO,BCO,ET,Airport,5.7839,36.5625,Africa/Addis_Ababa,3.0,JINKA BAKO
BDA,BDA,BM,Airport,32.3642,-64.6786,Atlantic/Bermuda,-3.0,Bermuda - Kindley Field
BDL,HFD,US,Airport,41.9389,-72.6833,America/New_York,-4.0,"Hartford - Bradley International, CT"
BDO,BDO,ID,Airport,-6.9006,107.5764,Asia/Jakarta,7.0,Bandung
BDQ,BDQ,IN,Airport,22.3361,73.2264,Asia/Kolkata,5.5,Vadodara
BDS,BDS,IT,Airport,40.6606,17.9481,Europe/Rome,2.0,Brindisi
BEG,BEG,RS,Airport,44.8183,20.3092,Europe/Belgrade,2.0,Belgrade
BEL,BEL,BR,Airport,-1.3792,-48.4764,America/Belem,-3.0,Belem
BER,BER,DE,Airport,52.3667,13.5033,Europe/Berlin,2.0,Berlin/Brandenburg
BET,BET,US,Airport,60.7797,-161.8381,America/Anchorage,-8.0,Bethel Municipal
BEW,BEW,MZ,Airport,-19.7964,34.9075,Africa/Maputo,2.0,Beira
BEY,BEY,LB,Airport,33.8208,35.4883,Asia/Beirut,3.0,Beirut Rafik Hariri International
BFF,BFF,US,Airport,41.8742,-103.5956,America/Denver,-6.0,Scottsbluff
BFL,BFL,US,Airport,35.4336,-119.0567,America/Los_Angeles,-7.0,Bakersfield
BFM,MOB,US,Airport,30.6333,-88.0667,America/Chicago,-5.0,Mobile - Aerospace
BFN,BFN,ZA,Airport,-29.0928,26.3025,Africa/Johannesburg,2.0,Bloemfontein
BGA,BGA,CO,Airport,7.1264,-73.1847,America/Bogota,-5.0,Bucaramanga
BGF,BGF,CF,Airport,4.3978,18.52,Africa/Bangui,1.0,Bangui
BGG,BGG,TR,Airport,38.8614,40.5925,Europe/Istanbul,3.0,BINGOL
BGI,BGI,BB,Airport,13.0747,-59.4925,America/Barbados,-4.0,Barbados (Bridgetown) - Adams International
BGO,BGO,NO,Airport,60.2933,5.2181,Europe/Oslo,2.0,Bergen
BGR,BGR,US,Airport,44.8075,-68.8281,America/New_York,-4.0,Bangor International
BGW,BGW,IQ,Airport,33.2625,44.2344,Asia/Baghdad,3.0,Baghdad International
BGY,MIL,IT,Airport,45.6689,9.7003,Europe/Rome,2.0,Milano Orio - Bergamo
BHD,BFS,GB,Airport,54.6181,-5.8725,Europe/London,1.0,Belfast City
BHE,BHE,NZ,Airport,-41.5178,173.8692,Pacific/Auckland,12.0,BLENHEIM
BHI,BHI,AR,Airport,-38.7272,-62.1533,America/Argentina/Buenos_Aires,-3.0,Bahia Blanca
BHM,BHM,US,Airport,33.5631,-86.7536,America/Chicago,-5.0,"Birmingham, AL"
BHO,BHO,IN,Airport,23.2875,77.3375,Asia/Kolkata,5.5,Bhopal
BHX,BHX,GB,Airport,52.4536,-1.7478,Europe/London,1.0,Birmingham International
BHY,BHY,CN,Airport,21.5394,109.2939,Asia/Shanghai,8.0,Beihai
BIA,BIA,FR,Airport,42.55,9.4847,Europe/Paris,2.0,Bastia
BIL,BIL,US,Airport,45.8078,-108.5428,America/Denver,-6.0,"Billings, MT"
BIO,BIO,ES,Airport,43.3011,-2.9106,Europe/Madrid,2.0,Bilbao
BIQ,BIQ,FR,Airport,43.4683,-1.5311,Europe/Paris,2.0,Biarritz
BIS,BIS,US,Airport,46.7722,-100.7458,America/Chicago,-5.0,Bismarck
BJL,BJL,GM,Airport,13.3381,-16.6522,Africa/Banjul,0.0,Banjul - Yundum International
BJM,BJM,BI,Airport,-3.3239,29.3186,Africa/Bujumbura,2.0,Bujumbura International
BJR,BJR,ET,Airport,11.6081,37.3217,Africa/Addis_Ababa,3.0,Bahar Dar
BJV,BXN,TR,Airport,37.2506,27.6644,Europe/Istanbul,3.0,Bodrum - Milas Airport
BJX,BJX,MX,Airport,20.9933,-101.4808,America/Mexico_City,-5.0,Leon-Guanajuato - Del Bajio
BKI,BKI,MY,Airport,5.9372,116.0531,Asia/Kuala_Lumpur,8.0,Kota Kinabalu
BKK,BKK,TH,Airport,13.6858,100.7489,Asia/Bangkok,7.0,Bangkok - Suvarnabhumi Int'l
BKO,BKO,ML,Airport,12.5336,-7.95,Africa/Bamako,0.0,Bamako
BLA,BLA,VE,Airport,10.1072,-64.6892,America/Caracas,-4.0,Barcelona
BLL,BLL,DK,Airport,55.7403,9.1517,Europe/Copenhagen,2.0,Billund
BLQ,BLQ,IT,Airport,44.5308,11.2969,Europe/Rome,2.0,Bologna
BLR,BLR,IN,Airport,13.1989,77.7056,Asia/Kolkata,5.5,Bengaluru/Bangalore International
BLZ,BLZ,MW,Airport,-15.6792,34.9739,Africa/Blantyre,2.0,Blantyre
BMA,STO,SE,Airport,59.3544,17.9417,Europe/Stockholm,2.0,STOCKHOLM BROMMA APT
BNA,BNA,US,Airport,36.1244,-86.6783,America/Chicago,-5.0,"Nashville, TN"
BNE,BNE,AU,Airport,-27.3842,153.1175,Australia/Brisbane,10.0,Brisbane International
BOD,BOD,FR,Airport,44.8286,-0.7153,Europe/Paris,2.0,Bordeaux
BOG,BOG,CO,Airport,4.7017,-74.1469,America/Bogota,-5.0,Bogotá
BOI,BOI,US,Airport,43.5644,-116.2228,America/Denver,-6.0,"Boise, ID"
BOJ,BOJ,BG,Airport,42.5697,27.5153,Europe/Sofia,3.0,Burgas
BOM,BOM,IN,Airport,19.0886,72.8681,Asia/Kolkata,5.5,Mumbai - Chhatrapati Shivaji Intl. Airport
BOO,BOO,NO,Airport,67.2692,14.3653,Europe/Oslo,2.0,Bodo
BOS,BOS,US,Airport,42.3644,-71.0053,America/New_York,-4.0,"Boston - Logan International, MA"
BPN,BPN,ID,Airport,-1.2683,116.8944,Asia/Makassar,8.0,Balikpapan
BPS,BPS,BR,Airport,-16.4386,-39.0808,America/Belem,-3.0,Porto Seguro
BPT,BPT,US,Airport,29.9508,-94.0208,America/Chicago,-5.0,Beaumont - Jefferson County
BQH,BQH,GB,Airport,51.3308,0.0322,Europe/London,1.0,London Biggin Hill Apt
BQN,BQN,PR,Airport,18.495,-67.1294,America/Puerto_Rico,-4.0,AGUADILLA RAFAEL HERNANDEZ
BRC,BRC,AR,Airport,-41.1511,-71.1578,America/Argentina/Buenos_Aires,-3.0,San Carlos De Bariloche International
BRE,BRE,DE,Airport,53.0475,8.7867,Europe/Berlin,2.0,Bremen
BRI,BRI,IT,Airport,41.1381,16.765,Europe/Rome,2.0,Bari
BRM,BRM,VE,Airport,10.0428,-69.3586,America/Caracas,-4.0,Barquisimeto
BRN,BRN,CH,Airport,46.9142,7.4972,Europe/Zurich,2.0,Berne - Belp
BRO,BRO,US,Airport,25.9069,-97.4258,America/Chicago,-5.0,Brownsville - S. Padre Island International
BRQ,BRQ,CZ,Airport,49.1514,16.6944,Europe/Prague,2.0,Brno
BRS,BRS,GB,Airport,51.3825,-2.7189,Europe/London,1.0,Bristol
BRU,BRU,BE,Airport,50.9014,4.4844,Europe/Brussels,2.0,Brussels - Airport
BRW,BRW,US,Airport,71.2856,-156.7661,America/Anchorage,-8.0,Barrow Wbas
BSB,BSB,BR,Airport,-15.86055556,-47.91527778,America/Sao_Paulo,-3.0,Brasilia International
BSL,BSL,CH,Airport,47.6011,7.5217,Europe/Paris,2.0,Basel Euroairport
BTR,BTR,US,Airport,30.5331,-91.1497,America/Chicago,-5.0,Baton Rouge - Ryan
BTU,BTU,MY,Airport,3.1242,113.0197,Asia/Kuala_Lumpur,8.0,Bintulu
BTV,BTV,US,Airport,44.4719,-73.1533,America/New_York,-4.0,"Burlington, International, VT"
BUD,BUD,HU,Airport,47.4369,19.2556,Europe/Budapest,2.0,"Budapest, Liszt Ferenc"
BUF,BUF,US,Airport,42.9406,-78.7322,America/New_York,-4.0,"Buffalo,  Greater Buffalo International, NY"
BUQ,BUQ,ZW,Airport,-20.0175,28.6178,Africa/Harare,2.0,Bulawayo
BUR,BUR,US,Airport,34.2006,-118.3586,America/Los_Angeles,-7.0,Burbank
BUS,BUS,GE,Airport,41.6103,41.5997,Asia/Tbilisi,4.0,BATUMI
BVC,BVC,CV,Airport,16.1367,-22.8889,Atlantic/Cape_Verde,-1.0,BOA VISTA ISLAND RABIL
BWI,BWI,US,Airport,39.1753,-76.6683,America/New_York,-4.0,"Baltimore - Washington International, DC"
BWK,BWK,HR,Airport,43.2858,16.6797,Europe/Zagreb,2.0,BRAC
BWN,BWN,BN,Airport,4.9442,114.9283,Asia/Brunei,8.0,Bandar Seri Begawan - Brunei International
BZE,BZE,BZ,Airport,17.5392,-88.3083,America/Belize,-6.0,Belize City - Goldson International
BZG,BZG,PL,Airport,53.0967,17.9778,Europe/Warsaw,2.0,Bydgoszcz
BZN,BZN,US,Airport,45.7775,-111.1531,America/Denver,-6.0,Bozeman
BZV,BZV,CG,Airport,-4.2517,15.2531,Africa/Brazzaville,1.0,Brazzaville
CAE,CAE,US,Airport,33.9389,-81.1194,America/New_York,-4.0,"Columbia, SC"
CAG,CAG,IT,Airport,39.2514,9.0578,Europe/Rome,2.0,Cagliari
CAI,CAI,EG,Airport,30.1219,31.4056,Africa/Cairo,2.0,Cairo International
CAK,CAK,US,Airport,40.9161,-81.4422,America/New_York,-4.0,Akron/Canton
CAN,CAN,CN,Airport,23.3925,113.2989,Asia/Shanghai,8.0,Guangzhou Baiyun International
CBR,CBR,AU,Airport,-35.3069,149.195,Australia/Sydney,10.0,Canberra
CCJ,CCJ,IN,Airport,11.1369,75.9553,Asia/Kolkata,5.5,Kozhikode
CCP,CCP,CL,Airport,-36.7728,-73.0631,America/Santiago,-4.0,Concepcion
CCS,CCS,VE,Airport,10.6031,-66.9906,America/Caracas,-4.0,Caracas
CCU,CCU,IN,Airport,22.6547,88.4467,Asia/Kolkata,5.5,Kolkata
CDG,PAR,FR,Airport,49.0097,2.5478,Europe/Paris,2.0,Paris - Charles De Gaulle
CDR,CDR,US,Airport,42.835,-103.0986,America/Denver,-6.0,Chadron
CDV,CDV,US,Airport,60.4917,-145.4775,America/Anchorage,-8.0,Cordova - Mile 13 Field
CEB,CEB,PH,Airport,10.3075,123.9794,Asia/Manila,8.0,Cebu
CEC,CEC,US,Airport,41.7803,-124.2367,America/Los_Angeles,-7.0,Crescent City
CEI,CEI,TH,Airport,19.9522,99.8831,Asia/Bangkok,7.0,Chiang Rai
CEZ,CEZ,US,Airport,37.3031,-108.6286,America/Denver,-6.0,Cortez
CFU,CFU,GR,Airport,39.6019,19.9117,Europe/Athens,3.0,Kerkyra
CGB,CGB,BR,Airport,-15.6531,-56.1167,America/Campo_Grande,-4.0,Cuiaba
CGH,SAO,BR,Airport,-23.6267,-46.6581,America/Sao_Paulo,-3.0,Sao Paulo - Congonhas
CGK,JKT,ID,Airport,-6.1256,106.6558,Asia/Jakarta,7.0,Jakarta - Soekarno-Hatta International
CGN,CGN,DE,Airport,50.8658,7.1428,Europe/Berlin,2.0,Cologne - Cologne/Bonn Airport
CGO,CGO,CN,Airport,34.5194,113.8411,Asia/Shanghai,8.0,Zhengzhou
CGQ,CGQ,CN,Airport,43.9961,125.6853,Asia/Shanghai,8.0,Changchun
CGR,CGR,BR,Airport,-20.4686,-54.6725,America/Campo_Grande,-4.0,Campo Grande International
CHA,CHA,US,Airport,35.0353,-85.2039,America/New_York,-4.0,Chattanooga
CHC,CHC,NZ,Airport,-43.4894,172.5322,Pacific/Auckland,12.0,Christchurch International
CHG,CHG,CN,Airport,41.5414,120.4339,Asia/Urumqi,6.0,CHAOYANG
CHO,CHO,US,Airport,38.1386,-78.4528,America/New_York,-4.0,Charlottesville Albemarie
CHQ,CHQ,GR,Airport,35.5317,24.1497,Europe/Athens,3.0,Chania
CHS,CHS,US,Airport,32.8986,-80.0406,America/New_York,-4.0,"Charleston, SC"
CIC,CIC,US,Airport,39.7961,-121.8583,America/Los_Angeles,-7.0,Chico
CID,CID,US,Airport,41.8847,-91.7108,America/Chicago,-5.0,"Cedar Rapids, IA"
CIT,AKX,KZ,Airport,42.3642,69.4789,Asia/Qyzylorda,5.0,Shymkent
CJB,CJB,IN,Airport,11.03,77.0433,Asia/Kolkata,5.5,Coimbatore
CJC,CJC,CL,Airport,-22.4981,-68.9081,America/Santiago,-4.0,Calama
CJU,CJU,KR,Airport,33.5114,126.4931,Asia/Seoul,9.0,Jeju
CKB,CKB,US,Airport,39.2967,-80.2281,America/New_York,-4.0,Clarksburg
CKG,CKG,CN,Airport,29.7194,106.6419,Asia/Shanghai,8.0,Chongqing
CKY,CKY,GN,Airport,9.5769,-13.6119,Africa/Conakry,0.0,Conakry
CLD,CLD,US,Airport,33.1283,-117.28,America/Los_Angeles,-7.0,"Carlsbad, CA"
CLE,CLE,US,Airport,41.4117,-81.8497,America/New_York,-4.0,"Cleveland - Hopkins International, OH"
CLJ,CLJ,RO,Airport,46.7853,23.6861,Europe/Bucharest,3.0,Cluj
CLL,CLL,US,Airport,30.5886,-96.3639,America/Chicago,-5.0,College Station - Easterwood Field
CLO,CLO,CO,Airport,3.5433,-76.3817,America/Bogota,-5.0,Cali
CLT,CLT,US,Airport,35.2139,-80.9431,America/New_York,-4.0,"Charlotte, NC"
CLY,CLY,FR,Airport,42.5203,8.7931,Europe/Paris,2.0,Calvi
CMB,CMB,LK,Airport,7.1803,79.8853,Asia/Colombo,5.5,Colombo - Katunayake
CME,CME,MX,Airport,18.6533,-91.8011,America/Mexico_City,-5.0,Ciudad Del Carmen
CMH,CMH,US,Airport,39.9981,-82.8919,America/New_York,-4.0,"Columbus, OH"
CMI,CMI,US,Airport,40.0392,-88.2781,America/Chicago,-5.0,Champaign Urbana
CMN,CAS,MA,Airport,33.3675,-7.59,Africa/Casablanca,1.0,Casablanca - Mohamed V
CMX,CMX,US,Airport,47.1683,-88.4892,America/New_York,-4.0,Hancock
CND,CND,RO,Airport,44.3622,28.4883,Europe/Bucharest,3.0,Constanta
CNF,BHZ,BR,Airport,-19.6339,-43.9689,America/Sao_Paulo,-3.0,Belo Horizonte - Tancredo Neves International
CNS,CNS,AU,Airport,-16.8781,145.7489,Australia/Brisbane,10.0,Cairns
CNX,CNX,TH,Airport,18.7714,98.9628,Asia/Bangkok,7.0,Chiang Mai
CNY,CNY,US,Airport,38.7608,-109.7475,America/Denver,-6.0,Moab
COD,COD,US,Airport,44.5178,-109.0261,America/Denver,-6.0,Cody
COK,COK,IN,Airport,10.1519,76.4019,Asia/Kolkata,5.5,Kochi
COO,COO,BJ,Airport,6.3572,2.3844,Africa/Porto-Novo,1.0,Cotonou
COR,COR,AR,Airport,-31.31,-64.2083,America/Argentina/Buenos_Aires,-3.0,Cordoba
COS,COS,US,Airport,38.8058,-104.7008,America/Denver,-6.0,"Colorado Springs - Peterson Field, CO"
COU,COU,US,Airport,38.8181,-92.2197,America/Chicago,-5.0,COLUMBIA REGIONAL
CPH,CPH,DK,Airport,55.6203,12.6503,Europe/Copenhagen,2.0,Copenhagen
CPO,CPO,CL,Airport,-27.2617,-70.7792,America/Santiago,-4.0,Copiapo
CPR,CPR,US,Airport,42.9081,-106.4644,America/Denver,-6.0,Casper
CPT,CPT,ZA,Airport,-33.9647,18.6017,Africa/Johannesburg,2.0,Cape Town
CRD,CRD,AR,Airport,-45.7853,-67.4656,America/Argentina/Buenos_Aires,-3.0,Comodoro Rivadavia
CRK,CRK,PH,Airport,15.1861,120.5603,Asia/Manila,8.0,ANGELES/MABALACAT CLARK INTERNATIONAL
CRP,CRP,US,Airport,27.7703,-97.5011,America/Chicago,-5.0,Corpus Christi - International
CRW,CRW,US,Airport,38.3731,-81.5931,America/New_York,-4.0,"Charleston, West Virginia - Yeager"
CSL,CSL,US,Airport,35.2333,-120.6333,America/Los_Angeles,-7.0,San Luis Obispo
CSX,CSX,CN,Airport,28.1936,113.2178,Asia/Shanghai,8.0,Changsha
CTA,CTA,IT,Airport,37.4667,15.0639,Europe/Rome,2.0,Catania
CTG,CTG,CO,Airport,10.4425,-75.5131,America/Bogota,-5.0,Cartagena
CTS,SPK,JP,Airport,42.79583333,141.6691667,Asia/Tokyo,9.0,Sapporo - Chitose
CTU,CTU,CN,Airport,30.57861111,103.9472222,Asia/Shanghai,8.0,Chengdu
CUC,CUC,CO,Airport,7.9275,-72.5117,America/Bogota,-5.0,Cucuta
CUL,CUL,MX,Airport,24.7644,-107.4747,America/Mazatlan,-6.0,Culiacan
CUM,CUM,VE,Airport,10.4503,-64.1306,America/Caracas,-4.0,Cumana
CUN,CUN,MX,Airport,21.0367,-86.8772,America/Cancun,-5.0,Cancun
CUR,CUR,CW,Airport,12.1889,-68.9597,America/Curacao,-4.0,Curacao - Hato Airport
CUU,CUU,MX,Airport,28.7028,-105.9644,America/Mazatlan,-6.0,Chihuahua
CUZ,CUZ,PE,Airport,-13.5358,-71.9389,America/Lima,-5.0,CUZCO A. VELASCO ASTETE INTL
CVG,CVG,US,Airport,39.0489,-84.6678,America/New_York,-4.0,"Cincinnati - Northern Kentucky, OH"
CWA,CWA,,Airport,44.7833,-89.6667,America/Chicago,-5.0,WAUSAU CENTRAL WISCONSIN APT
CWB,CWB,BR,Airport,-25.5286,-49.1758,America/Sao_Paulo,-3.0,Curitiba
CWL,CWL,GB,Airport,51.3967,-3.3433,Europe/London,1.0,Cardiff
CYS,CYS,US,Airport,41.1558,-104.8119,America/Denver,-6.0,Cheyenne Municipal
CZM,CZM,MX,Airport,20.5217,-86.9369,America/Cancun,-5.0,Cozumel
CZX,CZX,CN,Airport,31.9194,119.7783,Asia/Shanghai,8.0,Changzhou
DAB,DAB,US,Airport,29.18,-81.0581,America/New_York,-4.0,Daytona Beach
DAC,DAC,BD,Airport,23.8433,90.3978,Asia/Dhaka,6.0,Dhaka - Zia International
