AircraftCode,AirlineEquipCode,AircraftName
748,,
74B,B744,Boeing 747-400 Swingtail Freighter
74C,B742,Boeing 747-200 Mixed Configuration
74D,B743,Boeing 747-300 / 747-200 SUD Mixed Configuration
74E,B744,Boeing 747-400 Mixed Configuration
74H,B748,Boeing 747-8 Passenger
74J,B74D,Boeing 747-400 (Domestic) Passenger
74L,B74S,Boeing 747SP Passenger
74N,B748,Boeing 747-8F Freighter
74R,B74R,Boeing 747SR Passenger
74T,B741,Boeing 747-100 Freighter
74U,B743,Boeing 747-300 / 747-200 SUD Freighter
74V,B74R,Boeing 747SR Freighter
74X,B742,Boeing 747-200 Freighter
74Y,B744,Boeing 747-400 Freighter
752,B752,Boeing 757-200 Passenger
753,B753,Boeing 757-300 Passenger
75F,B752,Boeing 757-200 Freighter
75M,B752,Boeing 757-200 Mixed Configuration
75T,B753,Boeing 757-300 (winglets) Passenger
75W,B752,Boeing 757-200 (winglets) Passenger
762,B762,Boeing 767-200 Passenger
762,B762,Boeing 767-200 Passenger
763,B763,Boeing 767-300 Passenger
764,B764,Boeing 767-400 Passenger
76V,B763,Boeing 767-300 (winglets) Freighter
76W,B763,Boeing 767-300 (winglets) Passenger
76X,B762,Boeing 767-200 Freighter
76Y,B763,Boeing 767-300 Freighter
772,B77L,Boeing 777-200/ 200ER
773,B773,Boeing 777-300
779,B779,Boeing 777-900
77F,B77F,Boeing 777 Freighter
77L,B772,Boeing 777-200LR
77W,B77W,Boeing 777-300ER
77X,B772,Boeing 777-200F Freighter
783,B783,Boeing 787-3
788,B788,Boeing 787-8
789,B789,Boeing 787-9
A22,AN22,Antonov An-22
A26,AN26,Antonov An-26
A28,AN28,Antonov An-28 / PZL Mielec M-28 Skytruck
A30,AN30,Antonov An-30
A32,AN32,Antonov An-32
A38,AN38,Antonov An-38
A40,A140,Antonov An-140
A4F,A124,Antonov An-124 Ruslan
A58,ZZZZ,Antonov An-158
A5F,A225,Antonov An-225
A81,A148,Antonov AN148-100
AB4,A30B,Airbus A300B2 / A300B4 Passenger
AB6,A306,Airbus A300-600 Passenger
ABB,A3ST,Airbus A300-600ST Beluga Freighter
ABX,A30B,Airbus A300B4 / A300C4 / A300F4 Freighter
ABY,A306,Airbus A300-600 Freighter
ACP,*,Twin Commander Aircraft
ACT,*,Twin (Aero) Turbo Commander / Jetprop Commander
AGH,A109,AgustaWestland A109
AN4,AN24,Antonov An-24
AN7,AN72,Antonov An-72 / An-74
ANF,AN12,Antonov An-12
APF,ZZZZ,BAE Systems  ATP Freighter
APH,*,Eurocopter (Aerospatiale) SA330 Puma / AS332 Super Puma
AR1,RJ1H,Avro RJ100
AR7,RJ70,Avro RJ70
AR8,RJ85,Avro RJ85
AT4,AT43,ATR 42-300 / 320
AT7,AT72,ATR 72
ATF,AT72,ATR 72 Freighter
ATP,ATP,BAE Systems  ATP
ATZ,*,ATR 42 Freighter
AWH,A139,AgustaWestland AW139
AWZ,*,Augusta Westland 200
B12,BA11,BAE Systems (BAC) One-Eleven 200
B13,BA11,BAE Systems (BAC) One-Eleven 300
B14,BA11,BAE Systems (BAC) One-Eleven 400 / 475
B15,BA11,BAE Systems (BAC) One-Eleven 500 / RomBac One-Eleven 560
B72,B720,Boeing 720-020B
BE2,*,Hawker Beechcraft (Light aircraft-twin piston engines)
BE4,BE40,Hawker 400 Beechjet/400A/400XP/400T
BE9,BE99,Hawker Beechcraft C99 Airliner
BEF,B190,Hawker Beechcraft 1900 Freighter
BEH,B190,Hawker Beechcraft 1900D Airliner
BEP,*,Hawker Beechcraft (Light aircraft-single piston engine)
BES,B190,Hawker Beechcraft 1900C Airliner
BET,*,Hawker Beechcraft (Light aircraft-twin turboprop engines)
BH2,*,Bell (Helicopters)
BNI,BN2P,Britten-Norman BN-2A / BN-2B Islander
BNT,TRIS,Britten-Norman BN-2A Mk.III Trislander
BTA,ZZZZ,Business Turbo-Prop Aircraft
BUS,0000,Bus
C27,AJ27,Comac ARJ21-700
CCJ,CL60,Canadair (Bombardier) CL-600 / 601 / 604 / 605 Challenger
CCW,GL5T,Bombardier BD-700 Global 5000
CCX,GLEX,Bombardier BD-700 Global Express
CD2,NOMA,Gippsland Aeronautics N22B / N24A Nomad
CJ1,*,Cessna 500/ 501/ 525 Citation
CJ2,*,Cessna 550/ 551/ 552 Citation
CJ5,*,Cessna 560 Citation
CJ6,*,Cessna 650 Citation
CJ8,*,Cessna 680 Citation
CJL,*,Cessna 560 XL/XLS Citation
CJM,C510,Cessna 510 Mustang Citation
CJX,C750,Cessna 750 Citation X
CL3,CL30,Bombardier Challenger 300
CN1,*,Cessna (Light aircraft-single piston engine)
CN2,*,Cessna (Light aircraft-twin piston engines)
CNC,*,Cessna (Light aircraft-single turboprop engine)
CNF,*,Cessna 208B Freighter
CNJ,*,Cessna Citation
CNT,*,Cessna (Light aircraft-twin turboprop engines)
CR1,CRJ1,Canadair (Bombardier) Regional Jet 100
CR2,CRJ2,Canadair (Bombardier) Regional Jet 200
CR7,CRJ7,Canadair (Bombardier) Regional Jet 700 and Challenger 870
CR9,CRJ9,Canadair (Bombardier) Regional Jet 900 and Challenger 890
CRA,CRJ9,Canadair (Bombardier) Regional Jet 705
CRF,ZZZZ,Canadair (Bombardier) Regional Jet Freighter
CRK,CRJX,Canadair (Bombardier) Regional Jet 1000
CS2,C212,CASA / lAe 212 Aviocar
CS5,CN35,CASA / lAe CN-235
CS9,C295,CASA / lAe C-295
CV2,CVLP,Convair 240 Passenger
CV4,CVLP,Convair 440 Metropolitan Passenger
CV5,CVLT,Convair 580 Passenger
CVV,CVLP,Convair 240 Freighter
CVX,CVLP,Convair 340 / 440 Freighter
CVY,CVLT,Convair 580 / 5800 / 600 / 640 Freighter
CWC,C46,Curtiss C-46 Commando
D11,DC10,Boeing (Douglas) DC-10-10 / 15 Passenger
D1C,DC10,Boeing (Douglas) DC-10-30 / 40 Passenger
D1M,DC10,Boeing (Douglas) DC-10-30 Mixed Configuration
D1X,DC10,Boeing (Douglas) DC-10-10 Freighter
D1Y,DC10,Boeing (Douglas) DC-10-30 / 40 Freighter
D20,F2TH,Dassault Falcon 2000/2000DX
D28,D228,Fairchild Dornier 228
D2L,F2TH,Dassault Falcon 2000EX/EASY/LX
D38,D328,Fairchild Dornier 328-100
D3F,DC3,Boeing (Douglas) DC-3 Freighter
D42,DA42,Diamond Aircraft DA42 Twin Star
D4X,DH8D,De Havilland (Bombardier) DHC-8-400 Dash 8Q Freighter
D6F,DC6,Boeing (Douglas) DC-6A / DC-6B / DC-6C Freighter
D8L,DC86,Boeing (Douglas) DC-8-62 Passenger
D8M,DC86,Boeing (Douglas) DC-8-62 Mixed Configuration
D8Q,DC87,Boeing (Douglas) DC-8-72 Passenger
D8T,DC85,Boeing (Douglas) DC-8-50 Freighter
D8X,DC86,Boeing (Douglas) DC-8-61 / 62 / 63 Freighter
D8Y,DC87,Boeing (Douglas) DC-8-71 / 72 / 73 Freighter
D91,DC91,Boeing (Douglas) DC-9-10 Passenger
D92,DC92,Boeing (Douglas) DC-9-20 Passenger
D93,DC93,Boeing (Douglas) DC-9-30 Passenger
D94,DC94,Boeing (Douglas) DC-9-40 Passenger
D95,DC95,Boeing (Douglas) DC-9-50 Passenger
D9C,DC93,Boeing (Douglas) DC-9-30 Freighter
D9D,DC94,Boeing (Douglas) DC-9-40 Freighter
D9L,F900,Dassault Falcon 900LX
D9X,DC91,Boeing (Douglas) DC-9-10 Freighter
DC3,DC3,Boeing (Douglas) DC-3 Passenger
DC4,DC4,Boeing (Douglas) DC-4
DC6,DC6,Boeing (Douglas) DC-6B Passenger
DF1,FA10,Dassault Falcon 10 / 100
DF2,FA20,Dassault Falcon 20 / 200
DF5,FA50,Dassault Falcon 50 / 50EX
DF7,FA7X,Dassault Falcon 7X
DF9,F900,Dassault Falcon 900/900B/900C/900DX/900EX/EASY
DH1,DH8A,De Havilland (Bombardier) DHC-8-100 Dash 8 / 8Q
DH2,DH8B,De Havilland (Bombardier) DHC-8-200 Dash 8 / 8Q
DH3,DH8C,De Havilland (Bombardier) DHC-8-300 Dash 8 / 8Q
DH4,DH8D,De Havilland (Bombardier) DHC-8-400 Dash 8Q
DH7,DHC7,De Havilland (Bombardier) DHC-7 Dash 7
DHC,DHC4,De Havilland (Bombardier) DHC-4 Caribou
DHD,DOVE,BAE Systems (De Havilland) 104 Dove
DHF,0000,De Havilland (Bombardier) DHC-8 Freighter
DHH,HERN,BAE Systems (De Havilland) 114 Heron
DHL,DH3T,De Havilland (Bombardier) DHC-3 Turbo Otter
DHP,DHC2,De Havilland (Bombardier) DHC-2 Beaver
DHR,DH2T,De Havilland (Bombardier) DHC-2 Turbo Beaver
DHS,DHC3,De Havilland (Bombardier) DHC-3 Otter
DHT,DHC6,De Havilland (Bombardier) DHC-6 Twin Otter
E70,E170,Embraer 170
E75,E170,Embraer 175
E90,E190,Embraer 190
E95,E190,Embraer 195 and Legacy 1000
EA5,EA50,Eclipse 500
EC3,EC30,Eurocopter EC130
EC5,EC55,Eurocopter EC155
EM2,E120,Embraer 120 Brasilia
EMB,E110,Embraer 110 Bandeirante
EP1,E50P,Embraer EMB-500 Phenom 100
EP3,E55P,Embraer EMB-505 Phenom 300
ER3,E135,Embraer RJ135 and Legacy 600/650
ER4,E145,Embraer RJ145
ERD,E135,Embraer RJ140
F21,F28,Fokker F28 Fellowship 1000
F22,F28,Fokker F28 Fellowship 2000
F23,F28,Fokker F28 Fellowship 3000
F24,F28,Fokker F28 Fellowship 4000
F27,F27,Fokker F27 Friendship / Fairchild Industries F-27
F50,F50,Fokker 50
F5F,F50,Fokker 50 Freighter
F70,F70,Fokker 70
FK7,F27,Fairchild Industries FH-227
FRJ,J328,Fairchild Dornier 328JET
G2B,GLF2,Gulfstream Aerospace G-1159 Gulfstream IIB
G2S,GLF2,Gulfstream Aerospace G-1159 Gulfstream IISP
GA8,GA8,Gippsland Aeronautics GA8 Airvan
GJ2,GLF2,Gulfstream Aerospace G-1159 Gulfstream II
GJ3,GLF3,Gulfstream Aerospace G-1159A Gulfstream III
GJ4,GLF4,Gulfstream Aerospace IV (G300/G350/G400/G450/IVSP)
GJ5,GLF5,Gulfstream Aerospace V (G500/G550)
GJ6,GLF6,Gulfstream Aerospace G650
GR1,G150,Gulfstream Aerospace G-100/G-150 (Astra SPX)
GR2,GALX,Gulfstream Aerospace G-200 (Galaxy)
GR3,G280,Gulfstream Aerospace G-280
GRG,G21,Grumman G-21 Goose (Amphibian)
GRM,G73T,Grumman G-73 Turbo Mallard (Amphibian)
H20,PRM1,Hawker 200
H21,H25C,Hawker 1000
H24,HA4T,Hawker 4000
H25,H25B,Hawker 750/800/800XP/800SP
H28,H25B,Hawker 850XP/900
H29,H25B,Hawker 900XP
HEC,COUR,Helio H-250 Courier / H-295 / 395 Super Courier
HOV,0000,Surface Equipment-Hovercraft
HS7,A748,BAE Systems (Hawker Siddeley) 748 / Andover
I14,I114,Ilyushin Il-114
I9F,IL96,Ilyushin Il-96 Freighter
IL6,IL62,Ilyushin Il-62
IL7,IL76,Ilyushin Il-76
IL8,IL18,Ilyushin Il-18
IL9,IL96,Ilyushin Il-96 Passenger
ILW,IL86,Ilyushin Il-86
J31,JS31,BAE Systems Jetstream 31
J32,JS32,BAE Systems Jetstream 32
J41,JS41,BAE Systems Jetstream 41
JU5,JU52,Junkers Ju 52/3m
L11,L101,Lockheed Martin L-1011 TriStar 1 / 50 / 100 / 150 / 200 / 250 Passenger
L15,L101,Lockheed Martin L-1011 TriStar 500 Passenger
L1F,L101,Lockheed Martin L-1011 TriStar Freighter
L4F,L410,Aircraft Industries (LET) 410 Freighter
L4T,L410,Aircraft Industries (LET) 410
LCH,0000,Surface Equipment-Launch / Boat
LJA,ZZZZ,Light Jet Aircraft
LMO,0000,Surface Equipment-Limousine
LOE,L188,Lockheed Martin L-188 Electra
LOF,L188,Lockheed Martin L-188 Electra Freighter
LOH,C130,Lockheed Martin L-182 / L-282 / L-382 (L-100) Hercules
LRJ,*,Learjet
M11,MD11,Boeing (Douglas) MD-11 Passenger
M1F,MD11,Boeing (Douglas) MD-11 Freighter
M1M,MD11,Boeing (Douglas) MD-11 Mixed Configuration
M2F,MD82,Boeing (Douglas) MD82 Freighter
M3F,MD83,Boeing (Douglas) MD83 Freighter
M81,MD81,Boeing (Douglas) MD-81
M82,MD82,Boeing (Douglas) MD-82
M83,MD83,Boeing (Douglas) MD-83
M87,MD87,Boeing (Douglas) MD-87
M88,MD88,Boeing (Douglas) MD-88
M8F,MD88,Boeing (Douglas) MD88 Freighter
M90,MD90,Boeing (Douglas) MD-90
MA6,AN24,Xian Yunshuji MA-60/MA600
MBH,B105,Eurocopter (MBB) BO105
MD9,EXPL,MD Helicopters Inc MD 900 Explorer
MIH,MI8,Mil Mi-8 / Mi-17 / Mi-171 / Mi-172
MU2,MU2,Mitsubishi Aircraft Corporation MU-2
NDC,S601,Aerospatiale SN601 Corvette
NDE,*,Eurocopter (Aerospatiale) AS350 Ecureuil / AS355 Ecureuil 2
NDH,*,Eurocopter (Aerospatiale) SA365C / SA365N  Dauphin 2
P18,P180,Piaggio Aero P180 Avanti II
PA1,*,Piper (Light aircraft-single piston engine)
PA2,*,Piper (Light aircraft-twin piston engines)
PAT,*,Piper (Light aircraft-twin turboprop engines)
PL2,PC12,Pilatus PC-12
PL6,PC6T,Pilatus PC-6 Turbo Porter
PN6,P68,Vulcanair (Partenavia) P.68
PR1,PRM1,Hawker 390 Premier 1/1A
RFS,0000,Surface Equipment-Road Feeder Service (Truck)
S20,SB20,Saab 2000
S58,S58T,Sikorsky S-58T
S61,S61,Sikorsky S-61
S76,S76,Sikorsky S-76
SF3,SF34,Saab 340
SFB,SF34,Saab 340B
SFF,SF34,Saab 340 Freighter
SH3,SH33,Shorts 330 (SD3-30)
SH6,SH36,Shorts 360 (SD3-60)
SHS,SC7,Shorts Skyvan (SC-7)
SU7,ZZZZ,Sukhoi Superjet 100-75
SU9,SU95,Sukhoi Superjet 100-95
SWF,*,Fairchild (Swearingen) SA226 Freighter
SWM,*,Fairchild (Swearingen) SA26 / SA226 / SA227 Merlin / Metro / Expediter
SY8,AN12,Shaanxi Y-8
T20,T204,Tupolev Tu-204 / Tu-214
T2F,T204,Tupolev Tu-204 Freighter
T34,T334,Tupolev Tu-334
TBM,TBM7,SOCATA TBM-700
TRN,0000,Train
TRS,0000,Train
TU3,T134,Tupolev Tu-134
TU5,T154,Tupolev Tu-154
WWP,WW24,Israel Aerospace Industries 1124 Westwind
YK2,YK42,Yakovlev Yak-42 / Yak-142
YK4,YK40,Yakovlev Yak-40
YN2,Y12,Harbin Yunshuji Y12
YN7,AN24,Xian Yunshuji Y7
YS1,YS11,NAMC YS-11
